forecast_run_id,series_id,product_id,distribution_region,forecast_date,forecast_horizon_day,selected_model,point_forecast,lower_bound,upper_bound,synthetic_data_flag
FORECAST-6357daf22de3ea43,PROD-001|north,PROD-001,north,2026-01-15,1,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-001|north,PROD-001,north,2026-01-16,2,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-001|north,PROD-001,north,2026-01-17,3,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-001|north,PROD-001,north,2026-01-18,4,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-001|north,PROD-001,north,2026-01-19,5,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-001|north,PROD-001,north,2026-01-20,6,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-001|north,PROD-001,north,2026-01-21,7,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-002|south,PROD-002,south,2026-01-15,1,random_forest,305.154059,162.859128,447.448991,True
FORECAST-6357daf22de3ea43,PROD-002|south,PROD-002,south,2026-01-16,2,random_forest,305.154059,162.859128,447.448991,True
FORECAST-6357daf22de3ea43,PROD-002|south,PROD-002,south,2026-01-17,3,random_forest,305.154059,162.859128,447.448991,True
FORECAST-6357daf22de3ea43,PROD-002|south,PROD-002,south,2026-01-18,4,random_forest,305.154059,162.859128,447.448991,True
FORECAST-6357daf22de3ea43,PROD-002|south,PROD-002,south,2026-01-19,5,random_forest,305.154059,162.859128,447.448991,True
FORECAST-6357daf22de3ea43,PROD-002|south,PROD-002,south,2026-01-20,6,random_forest,305.154059,162.859128,447.448991,True
FORECAST-6357daf22de3ea43,PROD-002|south,PROD-002,south,2026-01-21,7,random_forest,305.154059,162.859128,447.448991,True
FORECAST-6357daf22de3ea43,PROD-003|central,PROD-003,central,2026-01-15,1,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-003|central,PROD-003,central,2026-01-16,2,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-003|central,PROD-003,central,2026-01-17,3,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-003|central,PROD-003,central,2026-01-18,4,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-003|central,PROD-003,central,2026-01-19,5,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-003|central,PROD-003,central,2026-01-20,6,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-003|central,PROD-003,central,2026-01-21,7,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-004|west,PROD-004,west,2026-01-15,1,random_forest,395.318968,253.024037,537.613900,True
FORECAST-6357daf22de3ea43,PROD-004|west,PROD-004,west,2026-01-16,2,random_forest,395.318968,253.024037,537.613900,True
FORECAST-6357daf22de3ea43,PROD-004|west,PROD-004,west,2026-01-17,3,random_forest,395.318968,253.024037,537.613900,True
FORECAST-6357daf22de3ea43,PROD-004|west,PROD-004,west,2026-01-18,4,random_forest,395.318968,253.024037,537.613900,True
FORECAST-6357daf22de3ea43,PROD-004|west,PROD-004,west,2026-01-19,5,random_forest,395.318968,253.024037,537.613900,True
FORECAST-6357daf22de3ea43,PROD-004|west,PROD-004,west,2026-01-20,6,random_forest,395.318968,253.024037,537.613900,True
FORECAST-6357daf22de3ea43,PROD-004|west,PROD-004,west,2026-01-21,7,random_forest,395.318968,253.024037,537.613900,True
FORECAST-6357daf22de3ea43,PROD-005|north,PROD-005,north,2026-01-15,1,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-005|north,PROD-005,north,2026-01-16,2,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-005|north,PROD-005,north,2026-01-17,3,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-005|north,PROD-005,north,2026-01-18,4,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-005|north,PROD-005,north,2026-01-19,5,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-005|north,PROD-005,north,2026-01-20,6,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-005|north,PROD-005,north,2026-01-21,7,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-006|south,PROD-006,south,2026-01-15,1,random_forest,347.798550,205.503619,490.093482,True
FORECAST-6357daf22de3ea43,PROD-006|south,PROD-006,south,2026-01-16,2,random_forest,347.798550,205.503619,490.093482,True
FORECAST-6357daf22de3ea43,PROD-006|south,PROD-006,south,2026-01-17,3,random_forest,347.798550,205.503619,490.093482,True
FORECAST-6357daf22de3ea43,PROD-006|south,PROD-006,south,2026-01-18,4,random_forest,347.798550,205.503619,490.093482,True
FORECAST-6357daf22de3ea43,PROD-006|south,PROD-006,south,2026-01-19,5,random_forest,347.798550,205.503619,490.093482,True
FORECAST-6357daf22de3ea43,PROD-006|south,PROD-006,south,2026-01-20,6,random_forest,347.798550,205.503619,490.093482,True
FORECAST-6357daf22de3ea43,PROD-006|south,PROD-006,south,2026-01-21,7,random_forest,347.798550,205.503619,490.093482,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-15,1,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-16,2,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-17,3,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-18,4,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-19,5,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-20,6,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-21,7,random_forest,0.000000,0.000000,142.294932,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-15,1,random_forest,242.826583,100.531652,385.121515,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-16,2,random_forest,242.826583,100.531652,385.121515,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-17,3,random_forest,242.826583,100.531652,385.121515,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-18,4,random_forest,242.826583,100.531652,385.121515,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-19,5,random_forest,242.826583,100.531652,385.121515,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-20,6,random_forest,242.826583,100.531652,385.121515,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-21,7,random_forest,242.826583,100.531652,385.121515,True
